"Eiffel","General, application, business, client-side, server-side, web (EWF)","Yes","Yes","Yes","No","Yes","Yes","Yes","distributed SCOOP, Void-safe","2005, ECMA, ISO"
"Elixir","Application, distributed","No","No","Yes","No","No","No","Yes","concurrent, distributed","No"
"Erlang","Application, distributed","No","No","Yes","No","No","No","Yes","concurrent, distributed","No"
"Euphoria","Application","No","No","No","Yes","No","Yes","No",,"No"
"Factor","General","Yes","No","Unclear","No","Yes","Yes","No","stack-oriented","No"
"FP",,"No","No","Yes","No","No","No","No",,"No"
"F#","Application","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"No"
"Forth","General","Yes","No","Unclear","No","No","No","No","stack-oriented","1994, ANSI"
"Fortran","Application, numerical computing","Yes","Yes","Yes","Yes","Yes","No","No","array-based, vectorized, concurrent, native distributed/shared-memory parallelism","1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008), ISO/IEC JTC1/SC22/WG5 N2145 (2018)"
"FreeBASIC","Application, numerical computing","Yes","Yes","No","Yes","Yes","No","No",,"No"
"Gambas","Application","Yes","Yes","No","No","No","No","Yes",,"No"
"Game Maker Language","Application, games","Yes","Yes","No","No","No","No","Yes",,"No"
"GLBasic","Application, games","Yes","Yes","No","Yes","No","No","No","simple object-oriented","No"
"Go","Application, web, server-side","Yes","No","No","Yes","No","Yes","Yes","concurrent","De facto standard via Go Language Specification"
"Gosu","Application, general, scripting, web","Yes","Yes","No","No","Yes","Yes","No",,"No"
"GraphTalk","Application","No","Yes","No","No","No","No","No","logic","No"
"Groovy","Application, general, scripting, web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","meta-programming","In progress, JCP"
"Harbour","Application, business, data processing, general, web","Yes","Yes","Yes","Yes","Yes","Yes","No","declarative","No"
"Haskell","Application","No","No","Yes","No","Yes","No","No","lazy evaluation","2010, Haskell 2010"
"Haxe","Application, general, web","Yes","Yes","Yes","No","Yes","Yes","No",,"No"
"HyperNext","Application, education","No","No","No","Yes","No","No","Yes","weakly typed","No"
"HyperTalk","Application, RAD, general","No","Yes","No","No","No","No","Yes","weakly typed","Unknown"
"Io","Application, host-driven scripting","Yes","Yes","No","No","No","No","No",,"No"
"IPL","General","No","No","Yes","No","No","No","No",,"Unknown"
"ISLISP","General","Yes","Yes","Yes","No","Yes","No","No",,"1997, ISO"
"J","Data processing","No","No","No","No","No","No","No","array-oriented, function-level, tacit","No"
"JADE","Application, distributed","Yes","Yes","No","No","No","No","No",,"No"
"Java","Application, business, client-side, general, mobile development, server-side, web","Yes","Yes","Yes","Yes","Yes","Yes","Yes","concurrent","De facto standard via Java Language Specification"
"JavaScript","Client-side, server-side, web","Yes","Yes","Yes","Yes","No","Yes","Yes","prototype-based","1997, ECMA"
"Joy","Research","No","No","Yes","No","No","No","No","stack-oriented","No"
"Julia","General, technical computing","Yes","Yes","Yes","Yes","Yes","Yes","No","multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (cloud)","No"
"K","Data processing, business","No","No","No","No","No","No","No","array-oriented, tacit","Unknown"
"Kotlin","Application, mobile development, server-side, client-side, web","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"No"
"Ksh","Shell, scripting","Yes","Yes","No","Yes","No","No","No","several variants, custom programmable, dynamic loadable modules","1992, POSIX.2"
"LabVIEW (G)","Application, industrial instrumentation-automation","Yes","Yes","Yes","No","No","No","Yes","dataflow, visual","No"
"Lisp","General","No","No","Yes","No","No","No","No",,"Unknown"
"LiveCode","Application, RAD, general","No","Yes","No","No","No","No","Yes","weakly typed","No"
"Logtalk","Artificial intelligence, application","No","Yes","No","No","No","Yes","Yes","logic","No"
"LSL","Virtual worlds content scripting and animation","Yes","No","No","Yes","No","No","Yes","Scripts exist in in-world objects","Yes"
"Lua","Application, embedded scripting","Yes","Yes","Yes","Yes","No","Yes","No","aspect-oriented","No"
"Maple","Symbolic computation, numerical computing","Yes","Yes","Yes","Yes","No","No","No","distributed","No"
"Mathematica","Symbolic language","Yes","Yes","Yes","Yes","No","No","No","logic, distributed","No"
"MATLAB","Highly domain-specific, numerical computing","Yes","Yes","No","Yes","No","No","No",,"No"
"Modula-2","Application, system","Yes","No","No","No","Yes","No","No",,"1996, ISO"
"Modula-3","Application","Yes","Yes","No","No","Yes","No","No",,"No"
"MUMPS (M)","Application, databases","Yes","No","No","Yes","No","No","No","concurrent, multi-user, NoSQL, transaction processing","1977, ANSI"
"Nim","Application, general, web, scripting, system","Yes","Yes","Yes","Yes","Yes","Yes","No","multiple dispatch, Concurrent, meta","No"
"Oberon","Application, system","Yes","Yes","No","No","No","No","No",,"No"
"Object Pascal","Application, general, mobile app, web","Yes","Yes","No","Yes","Yes","Yes","Yes","structured","No"
"Objective-C","Application, general","Yes","Yes","No","Yes","No","Yes","No","concurrent","No"
"OCaml","Application, general","Yes","Yes","Yes","Yes","Yes","No","No",,"No"
"Occam","General","Yes","No","No","Yes","No","No","No","concurrent, process-oriented","No"
"Opa","Web applications","Yes","No","Yes","No","Yes","No","No","distributed","No"
"OpenLisp","General, Embedded Lisp Engine","Yes","Yes","Yes","No","Yes","No","No",,"Supersedes ISLISP, ISO"
"Oxygene","Application","Yes","Yes","No","No","Yes","No","No",,"No"
"Oz-Mozart","Application, distribution, education","Yes","Yes","Yes","No","No","No","No","concurrent, logic","No"
"Pascal","Application, education","Yes","No","No","Yes","No","No","No",,"1983, ISO"
"Perl","Application, scripting, text processing, Web","Yes","Yes","Yes","Yes","Yes","Yes","No",,"No"
"PHP","Server-side, web application, web","Yes","Yes","Yes","Yes","No","Yes","No",,"De facto standard via language specification and Requests for Comments (RFCs)"
"PL/I","Application","Yes","Yes","No","Yes","No","No","No",,"1969, ECMA-50 (1976)"
"Plus","Application, system development","Yes","No","No","Yes","No","No","No",,"No"
"PostScript","Graphics, page description","Yes","No","No","Yes","No","No","No","concatenative, stack-oriented","Yes, as the PostScript Reference Manual"
"PowerShell","Administration, application, general, scripting","Yes","Yes","Yes","Yes","No","Yes","No","pipeline","No"
"Prolog","Application, artificial intelligence","No","No","Yes","Yes","No","Yes","No","logic, declarative","1995, ISO/IEC 13211-1:1995, TC1 2007, TC2 2012, TC3 2017"
"PureBasic","Application","No","No","No","Yes","No","No","No",,"No"
"Python","Application, general, web, scripting, artificial intelligence, scientific computing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","aspect-oriented","De facto standard via Python Enhancement Proposals (PEPs)"
"R","Application, statistics","Yes","Yes","Yes","Yes","No","Yes","No",,"No"
"Racket","Education, general, scripting","No","Yes","Yes","Yes","No","Yes","No","modular, logic, meta","No"
"Raku","Scripting, text processing, glue","Yes","Yes","Yes","Yes","Yes","Yes","No","aspect-oriented, array, lazy evaluation, multiple dispatch, metaprogramming","Yes"
"REALbasic","Application","No","No","No","Yes","No","No","No",,"Unknown"
"Rebol","Distributed","Yes","Yes","Yes","Yes","No","Yes","Yes","dialected","No"
"RPG","Application, system","Yes","No","No","Yes","No","No","No",,"No"
"Ruby","Application, scripting, web","Yes","Yes","Yes","No","No","Yes","No","aspect-oriented","2011(JIS X 3017), 2012(ISO/IEC 30170)"
"Rust","Application, system","Yes","Yes","Yes","Yes","Yes","No","Yes","concurrent","No"
"S","Application, statistics","Yes","Yes","Yes","Yes","No","No","No",,"No"
"S-Lang","Application, numerical, scripting","Yes","No","No","Yes","No","No","No",,"No"
"Scala","Application, distributed, web","Yes","Yes","Yes","No","Yes","Yes","Yes",,"De facto standard via Scala Language Specification (SLS)"
"Scheme","Education, general","No","No","Yes","No","No","No","No","extensible syntax","1998, R6RS"
"Seed7","Application, general, scripting, web","Yes","Yes","No","No","Yes","Yes","No","multi-paradigm, extensible, structured","No"
"Simula","Education, general","Yes","Yes","No","No","No","No","Yes","discrete event simulation, multi-threaded (quasi-parallel) program execution","1968"
"Small Basic","Application, education, games","Yes","No","No","No","No","No","Yes","component-oriented","No"
"Smalltalk","Application, general, business, artificial intelligence, education, web","Yes","Yes","Yes","Yes","No","Yes","Yes","concurrent, declarative","1998, ANSI"
"SNOBOL","Text processing","No","No","No","No","No","No","No",,"Unknown"
"Standard ML","Application","Yes","No","Yes","No","Yes","No","No",,"1997, SML 97"
"Swift","Application, general","Yes","Yes","Yes","Yes","Yes","Yes","Yes","concurrent, Multi-paradigm","No"
"Tcl","Application, scripting, web","Yes","Yes","Yes","Yes","No","Yes","Yes",,"No"
"Visual Basic","Application, RAD, education, business, general, (Includes VBA), office automation","Yes","Yes","No","No","Yes","No","Yes","component-oriented","No"
"Visual Basic .NET","Application, RAD, education, web, business, general","Yes","Yes","Yes","Yes","Yes","Yes","Yes","structured, concurrent","No"
"Visual FoxPro","Application","No","Yes","No","No","No","No","No","data-centric, logic","No"
"Visual Prolog","Application","Yes","Yes","Yes","No","No","No","Yes","declarative, logic","No"
"Wolfram Language","Symbolic language","Yes","Yes","Yes","Yes","No","No","No","logic, distributed","No"
"XL",,"Yes","Yes","No","No","No","No","No","concept programming","No"
"Xojo","Application, RAD, general, web","Yes","Yes","No","Yes","No","Yes","Yes",,"No"
"XPath/XQuery","Databases, data processing, scripting","No","No","Yes","No","No","No","No","tree-oriented","W3C 1999 XPath 1, 2010 XQuery 1, 2014 XPath/XQuery 3.0"
"Zsh","Shell, scripting","Yes","No","No","Yes","No","No","No","loadable modules","No"
